,Ticker,Company,Segment,Exchange,Weighting (%)
82,601390.SS,China Railway Group Limited,Industrials,Shanghai,0.366
83,601229.SS,Bank of Shanghai,Financials,Shanghai,0.364
84,300122.SS,Chongqing Zhifei Biological Products,Health Care,Shenzhen,0.36
85,002027.SS,Focus Media Information Technology,Communication,Shenzhen,0.357
86,688012.SS,Advanced Micro-Fabrication Equipment,Information Technology,Shanghai,0.357
87,688111.SS,Beijing Kingsoft Office Software,Information Technology,Shanghai,0.351
88,601006.SS,Daqin Railway,Industrials,Shanghai,0.343
89,002304.SS,Jiangsu Yanghe Brewery Joint-Stock,Consumer Staples,Shenzhen,0.341
90,601818.SS,China Everbright Bank,Financials,Shanghai,0.335
91,600019.SS,Baoshan Iron and Steel,Materials,Shanghai,0.331
92,688271.SS,United Imaging,Health Care,Shanghai,0.329
93,603019.SS,Dawning Information Industry,Information Technology,Shanghai,0.327
94,600585.SS,Anhui Conch Cement,Materials,Shanghai,0.322
95,002050.SS,ZHEJIANG SANHUA INTELLIGENT CONTROLS,Industrials,Shenzhen,0.313
96,002466.SS,Tianqi Lithium Industries,Materials,Shenzhen,0.311
97,601658.SS,Postal Savings Bank of China,Financials,Shanghai,0.302
98,601989.SS,China Shipbuilding Industry Company,Industrials,Shanghai,0.301
99,600938.SS,CNOOC Limited,Energy,Shanghai,0.297
100,600999.SS,China Merchants Securities,Financials,Shanghai,0.294
101,688036.SS,Transsion,Information Technology,Shanghai,0.287
102,000938.SS,Unisplendour,Information Technology,Shenzhen,0.284
103,601628.SS,China Life Insurance Company,Financials,Shanghai,0.283
104,603986.SS,GigaDevice,Information Technology,Shanghai,0.274
105,002049.SS,Unigroup Guoxin Microelectronics,Information Technology,Shenzhen,0.273
106,601600.SS,Aluminum Corporation of China Limited,Materials,Shanghai,0.269
107,600111.SS,China Northern Rare Earth Group,Materials,Shanghai,0.268
108,688008.SS,Montage Technology,Information Technology,Shanghai,0.267
109,300014.SS,Eve Energy,Industrials,Shenzhen,0.264
110,601939.SS,China Construction Bank,Financials,Shanghai,0.264
111,600958.SS,Orient Securities,Financials,Shanghai,0.258
112,600893.SS,AVIC Aviation Engine Corporation,Industrials,Shanghai,0.257
113,002460.SS,Ganfeng Lithium,Materials,Shenzhen,0.254
114,601009.SS,Bank of Nanjing,Financials,Shanghai,0.254
115,000538.SS,Yunnan Baiyao Group,Health Care,Shenzhen,0.251
116,601669.SS,Power Construction Corporation of China,Industrials,Shanghai,0.247
117,600009.SS,Shanghai International Airport,Industrials,Shanghai,0.246
118,002129.SS,Tianjin Zhonghuan Semiconductor,Information Technology,Shenzhen,0.245
119,603993.SS,China Molybdenum,Materials,Shanghai,0.244
120,600886.SS,SDIC Power Holdings,Utilities,Shanghai,0.241
121,600760.SS,AVIC SHENYANG AIRCRAFT COMPANY,Industrials,Shanghai,0.237
122,000425.SS,XCMG Construction Machinery,Industrials,Shenzhen,0.236
123,000776.SS,GF Securities,Financials,Shenzhen,0.235
124,601916.SS,China Zheshang Bank,Financials,Shanghai,0.235
125,600795.SS,GD Power Development,Utilities,Shanghai,0.234
126,000661.SS,Chang Chun High and New Technology Industry (Group),Health Care,Shenzhen,0.233
127,000166.SS,Shenwan Hongyuan,Financials,Shenzhen,0.232
128,600426.SS,Shandong Hualu-Hengsheng Chemical,Materials,Shanghai,0.229
129,600015.SS,Hua Xia Bank,Financials,Shanghai,0.226
130,300782.SS,Maxscend Microelectronics,Information Technology,Shenzhen,0.225
131,601377.SS,Industrial Securities,Financials,Shanghai,0.225
132,601186.SS,China Railway Construction,Industrials,Shanghai,0.224
133,000157.SS,Zoomlion Heavy Industry Science & Technology,Industrials,Shenzhen,0.223
134,002241.SS,GoerTek,Information Technology,Shenzhen,0.223
135,600926.SS,Bank of Hangzhou,Financials,Shanghai,0.221
136,600547.SS,Shandong Gold-Mining,Materials,Shanghai,0.22
137,600011.SS,Huaneng Power International,Utilities,Shanghai,0.218
138,000977.SS,Inspur Electronic Information Industry,Information Technology,Shenzhen,0.216
139,002252.SS,Shanghai RAAS Blood Products,Health Care,Shenzhen,0.215
140,600674.SS,Sichuan Chuantou Energy,Utilities,Shanghai,0.214
141,603799.SS,ZHEJIANG HUAYOU COBALT,Materials,Shanghai,0.213
142,600584.SS,JCET,Information Technology,Shanghai,0.21
143,600570.SS,Hundsun Technologies,Information Technology,Shanghai,0.208
144,002236.SS,Zhejiang Dahua Technology,Information Technology,Shenzhen,0.205
145,002179.SS,AVIC Jonhon Optronic Technology,Information Technology,Shenzhen,0.204
