,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE,market_cap,Sector
219,AVROIND,AVRO INDIA LIMITED,BE,7-Apr-22,10,1768905600,Consumer Cyclical
220,AVTNPL,AVT Natural Products Limited,EQ,10-Jan-07,1,9773335552,Basic Materials
221,AWFIS,Awfis Space Solutions Limited,EQ,30-May-24,10,29486753792,Industrials
222,AWHCL,Antony Waste Handling Cell Limited,EQ,1-Jan-21,5,16193136640,Industrials
223,AWL,AWL Agri Business Limited,EQ,8-Feb-22,1,2.7102E+11,Consumer Defensive
224,AXISBANK,Axis Bank Limited,EQ,16-Nov-98,2,3.90655E+12,Financial Services
225,AXISCADES,AXISCADES Technologies Limited,EQ,21-Dec-00,5,48997040128,Industrials
226,AXITA,Axita Cotton Limited,BE,21-Jun-22,1,3303318272,Consumer Cyclical
227,AYMSYNTEX,AYM Syntex Limited,EQ,14-Aug-15,10,8783648768,Consumer Cyclical
228,AZAD,Azad Engineering Limited,EQ,28-Dec-23,2,89846120448,Industrials
229,BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-Feb-20,10,2998897664,Healthcare
230,BAGFILMS,B.A.G Films and Media Limited,EQ,17-Oct-03,2,1138029056,Communication Services
231,BAIDFIN,Baid Finserv Limited,EQ,20-Jan-23,2,1720380800,Financial Services
232,BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-May-08,10,2.62874E+12,Consumer Cyclical
233,BAJAJCON,Bajaj Consumer Care Limited,EQ,18-Aug-10,1,39943081984,Consumer Defensive
234,BAJAJELEC,Bajaj Electricals Limited,EQ,2-Nov-07,2,45328949248,Consumer Cyclical
235,BAJAJFINSV,Bajaj Finserv Limited,EQ,26-May-08,1,3.11352E+12,Financial Services
236,BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-Nov-21,5,11032856576,Healthcare
237,BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-Sep-24,10,7.35837E+11,Financial Services
238,BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-May-95,1,19501000704,Consumer Defensive
239,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-Mar-95,10,1.18728E+12,Financial Services
240,BAJAJINDEF,Indef Manufacturing Limited,EQ,21-Feb-25,1,9764925440,Industrials
241,BAJEL,Bajel Projects Limited,EQ,19-Dec-23,2,17135718400,Utilities
242,BAJFINANCE,Bajaj Finance Limited,EQ,1-Apr-03,1,5.76784E+12,Financial Services
243,BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,12-Sep-24,10,2823982848,Consumer Cyclical
244,BALAJITELE,Balaji Telefilms Limited,EQ,22-Nov-00,2,10895710208,Communication Services
245,BALAMINES,Balaji Amines Limited,EQ,5-Apr-07,2,36600168448,Basic Materials
246,BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-Nov-15,2,1333813248,Healthcare
247,BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-Jul-15,10,547732032,Consumer Cyclical
248,BALKRISIND,Balkrishna Industries Limited,EQ,27-Jan-06,2,4.65585E+11,Consumer Cyclical
249,BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,6-Jul-95,10,28604495872,Industrials
250,BALPHARMA,Bal Pharma Limited,EQ,8-May-06,10,1057910912,Healthcare
251,BALRAMCHIN,Balrampur Chini Mills Limited,EQ,8-Feb-95,1,83461832704,Consumer Defensive
252,BALUFORGE,Balu Forge Industries Limited,EQ,29-Apr-24,10,43616428032,Industrials
253,BANARBEADS,Banaras Beads Limited,EQ,7-Jul-95,10,710619392,Consumer Cyclical
254,BANARISUG,Bannari Amman Sugars Limited,EQ,28-May-03,10,44999966720,Consumer Defensive
255,BANCOINDIA,Banco Products (I) Limited,EQ,22-Dec-06,2,78548934656,Consumer Cyclical
256,BANDHANBNK,Bandhan Bank Limited,EQ,27-Mar-18,10,2.40566E+11,Financial Services
257,BANG,Bang Overseas Limited,EQ,20-Feb-08,10,590673600,Consumer Cyclical
258,BANKA,Banka BioLoo Limited,EQ,29-Oct-20,10,700516416,Industrials
259,BANKBARODA,Bank of Baroda,EQ,19-Feb-97,2,1.5315E+12,Financial Services
260,BANKINDIA,Bank of India,EQ,30-Apr-97,10,7.26833E+11,Financial Services
