,Code,Company,Sector,Market Capitalisation,Chairperson,HQ
36,CAR,CAR Group,Communication Services,8530972785,Patrick O’Sullivan,Melbourne
37,CBA,Commonwealth Bank,Financials,289174295462,Paul O'Malley,Sydney
38,CDA,Codan,Information Technology,5823647746,Graeme Barclay,Adelaide
39,CEN,Contact Energy,Utilities,4101812576,Rob McDonald,"Wellington, New Zealand"
40,CGF,Challenger,Financials,5713123833,Duncan West,Sydney
41,CHC,Charter Hall,Real Estate,8774098041,Stephen Conry,Sydney
42,CIA,Champion Iron,Materials,2836895325,Michael O'Keeffe,Sydney
43,CIP,Centuria Industrial REIT,Real Estate,1791993764,Roger Dobson,Sydney
44,CLW,Charter Hall Long WALE REIT,Real Estate,2397585687,Glenn Fraser,Sydney
45,CMM,Capricorn Metals,Materials,4997040137,Mark Clark,Perth
46,CNU,Chorus,Communication Services,3392998639,Moira Watson,"Wellington, New Zealand"
47,COH,Cochlear,Healthcare,11272116657,Alison Deans,Sydney
48,COL,Coles Group,Consumer Staples,30381905088,Peter Allen,Melbourne
49,CPU,Computershare,Information Technology,16385705693,Paul Reynolds,Melbourne
50,CQR,Charter Hall Retail REIT,Real Estate,2138924961,Roger Davis,Sydney
51,CSC,Capstone Copper,Materials,1918441217,John MacKenzie,"Vancouver, British Columbia, Canada"
52,CSL,CSL,Healthcare,67425362418,Brian McNamee,Melbourne
53,CTD,Corporate Travel Management,Consumer Discretionary,2351454738,Ewen Crouch,Brisbane
54,CWY,Cleanaway,Industrials,5174674975,Philippe Etienne,Melbourne
55,CYL,Catalyst Metals,Materials,1596983449,Mark Connelly,Perth
56,DBI,Dalrymple Bay Infrastructure,Industrials,2488723568,Dr David Hamill,Brisbane
57,DNL,Dyno Nobel,Materials,5638642963,Gregory Robinson,Brisbane
58,DOW,Downer Group,Industrials,5142022791,Mark Menhinnitt,Sydney
59,DRO,Droneshield,Industrials,3627203981,Jethro Marks,Sydney
60,DRR,Deterra Royalties,Materials,2133709719,Jennifer Seabrook,Perth
61,DXS,Dexus,Real Estate,6263925390,Warwick Negus,Sydney
62,DYL,Deep Yellow,Energy,1746201181,Chris Salisbury,Perth
63,EBO,EBOS Group,Healthcare,3975010981,Elizabeth Coutts,"Christchurch, New Zealand"
64,EDV,Endeavour Group,Consumer Staples,5746322154,Duncan Makeig,Sydney
65,EMR,Emerald Resources,Materials,3739255477,Morgan Hart,Perth
66,EOS,Electro Optic Systems Holdings,Industrials,1736568891,Garry Hounsell,Canberra
67,EVN,Evolution Mining,Materials,26438690172,Jake Klein,Sydney
68,EVT,EVT,Communication Services,2143670746,Alan Rydge,Sydney
69,FBU,Fletcher Building,Industrials,2536757798,Peter Crowley,"Auckland, New Zealand"
70,FLT,Flight Centre Travel Group,Consumer Discretionary,2240454452,Gary Smith,Brisbane
71,FMG,Fortescue,Materials,62349039590,Andrew Forrest,Perth
72,FPH,Fisher & Paykel Healthcare,Healthcare,17793111193,Neville Mitchell,"Auckland, New Zealand"
73,FRW,Freightways Group,Industrials,1809638065,Mark Cairns,"Auckland, New Zealand"
74,GDG,Generation Development Group,Financials,1559678301,Rob Coombe,Melbourne
75,GGP,Greatland Resources,Materials,8646848589,Mark Barnaba,Perth
76,GMD,Genesis Minerals,Materials,6705466493,Raleigh Finlayson,Perth
77,GMG,Goodman Group,Real Estate,53328202379,Stephen Jones,Sydney
78,GNE,Genesis Energy,Utilities,2349418103,Barbara Chapman,"Auckland, New Zealand"
79,GPT,GPT Group,Real Estate,8524319564,Vickki McFadden,Sydney
80,GQG,GQG Partners,Financials,5280031942,Rajiv Jain,"Fort Lauderdale, Florida, United States of America"
81,HDN,HomeCo Daily Needs REIT,Real Estate,2517605493,Simon Shakesheff,Sydney
82,HUB,HUB24,Financials,6487931467,Paul Rogan,Sydney
83,HVN,Harvey Norman,Consumer Discretionary,5893611473,Gerry Harvey,Sydney
84,IAG,Insurance Australia Group,Financials,17219266180,Thomas Pockett,Sydney
85,IFL,Insignia Financial,Financials,3185949179,Allan Griffiths,Melbourne
