,Ticker,Company,Sector,Industry [9],MarketCap
65,CRT.UN,CT Real Estate Investment Trust,Real Estate,REITs,
66,DFY,Definity Financial Corporation,Financial Services,Insurance,8168786671
67,DML,Denison Mines Corp.,Energy,Other Energy Sources,4710775340
68,DSG,Descartes Systems Group Inc.,Information Technology,Software,8557408336
69,DOL,Dollarama Inc.,Consumer Staples,Retailers - Staples,53280988013
70,DIR.UN,Dream Industrial Real Estate Investment Trust,Real Estate,REITs,
71,DPM,Dundee Precious Metals Inc.,Basic Materials,Metals & Mining,10967123363
72,ELD,Eldorado Gold Corporation,Basic Materials,Metals & Mining,9984117239
73,EFN,Element Fleet Management Corp.,Industrials,Business Services,12259268871
74,EMA,Emera Incorporated,Utilities,Regulated Utilities,22157815257
75,EMP.A,Empire Company Limited,Consumer Staples,Retailers - Staples,
76,ENB,Enbridge Inc.,Energy,Oil & Gas Storage/Transport,1.62153E+11
77,EFR,Energy Fuels Inc.,Energy,Other Energy Sources,6189945923
78,ENGH,Enghouse Systems Limited,Information Technology,Software,831723627
79,EQB,EQB Inc.,Financial Services,Banks,3867856946
80,EQX,Equinox Gold Corp.,Basic Materials,Metals & Mining,15773521400
81,ERO,Ero Copper Corp.,Basic Materials,Metals & Mining,3725504608
82,EIF,Exchange Income Corporation,Industrials,Transportation,5579873366
83,FFH,Fairfax Financial Holdings Limited,Financial Services,Insurance,48618425574
84,FIL,Filo Corp.,Basic Materials,Metals & Mining,
85,FTT,Finning International Inc.,Industrials,Industrial Distribution,11775392844
86,FCR.UN,First Capital Real Estate Investment Trust,Real Estate,REITs,
87,AG,First Majestic Silver Corp.,Basic Materials,Metals & Mining,15267530016
88,FM,First Quantum Minerals Ltd.,Basic Materials,Metals & Mining,26858076643
89,FSV,FirstService Corporation,Real Estate,Real Estate,8907127426
